leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,puuid
2667d1a2-5064-42bf-9b4e-6afdcb8e7b37,RANKED_SOLO_5x5,DIAMOND,I,Z-R83pwVHpZx_Fal2ewiLHkjgzZ8Gs1VgaCN5ly7OsWg98Ck,종결미드라인,0,277,241,False,False,False,False,,FhAYliN8D88L9lG4cW4XO-SDOQlzJTNCkMG46_iOQGNLjIKcUarALKmTmd9y9R9FeVkJdcuoNAo9vA
6c9b05d9-288d-4dbd-bc7b-870335d8bade,RANKED_SOLO_5x5,DIAMOND,I,oDqePubPpMzQG4cehmEuhQf6eZFSWXFZxyu8eAVxZljKpMqX,Yoonsub,74,176,138,False,False,False,False,,Pi_YR_3QO59M0FkW2u5dfTKSDGGhwXPSGCw07mRm6VORIKsFKx1NxdAWSWxphPr1ECbeTQeU0Z7l8g
d20103ba-8c94-422b-bc98-84a8490ceb5d,RANKED_SOLO_5x5,DIAMOND,I,lVGw2NSMHP1SKT8XGn2NTkLY0F2mPcYXlUOV_yzy86AYGTAW,FW NL,100,347,297,False,False,True,False,"{'target': 3, 'wins': 0, 'losses': 0, 'progress': 'NNNNN'}",yQbpOW61PFgWX-tJUDfdaw6PPPz_kPvKWS-yRE6oorzCfXN4MBIpPyU9UVuq62lXjbUOFmtRQ3UsyA
a115c707-81ab-4ca2-8d20-d8032dfabe6a,RANKED_SOLO_5x5,DIAMOND,I,zDP4eVJkZ93gU4yUPOpw0SXMiG5EYAGO637ZRMk7p8FNR52g,Jasm1ne,100,181,148,False,False,False,True,"{'target': 3, 'wins': 0, 'losses': 0, 'progress': 'NNNNN'}",xQiquwyzjG0CcfgeKyd4QVu1_QskmwBaTE5hwK6lh0zr58VULLfwGukP5wiZPoS477Rx2vX7A6wX7g
879500de-d769-463d-b680-0410fd9a29bf,RANKED_SOLO_5x5,DIAMOND,I,B_NGqqAvX0_QoA3j7Y1dmLsqZzawi5zME9Scu7G6SrXRLxXp,Neverfail,69,733,733,False,False,False,False,,2sUWz4Ccl0an4b5DcupiVAFtgBpVpPGCrsggoHqEnMFIoEX2on-CE5uASn6EL5VPYA6ycZz7tT62DA
fa4239c8-49b2-4421-80de-e881cffdf695,RANKED_SOLO_5x5,DIAMOND,I,XrFeNZf1N_XN6XPbcd9GBasZ8w1kKOK4p9duH5tLqC2oM1zz,쿤이여편네,0,60,50,False,False,False,False,,CmbrKT5UT-HRiutrUfT33zVZ3LkSXG-pdVt4W6ir2jVyG50wQKoe3wnf5t-d-TCt5xpV5DUacv3KEA
f6b9bcbc-0c34-448f-9fca-1e3423923138,RANKED_SOLO_5x5,DIAMOND,I,aTzvMrEJFWchZY22HpPxFzZvGuMnkpg1UXh7eq511ZNYL0fN,플랜트바비큐와퍼,57,779,751,False,False,True,False,,nwG9tzNKj6I--WAd_A6Gg6SgRoW-YoJ-oKsxElMiNC5duSNqY9X-P3tOQXutIiIs5lETp5kY6sDgmg
a115c707-81ab-4ca2-8d20-d8032dfabe6a,RANKED_SOLO_5x5,DIAMOND,I,loCsjiUe8Fx423tRCrtQUILlDzhUOiZ3mXFQZYtHgErj5ase,아기곰,62,323,320,False,False,False,False,,x0isXNbSZFrbJDBYlQkrK50jUwkgsn1dsvjLOIjoNiTn_ORzFv1CXPAMBMfZt_OU8ZGdqHhdgGqLwg
64a5168e-c415-4d23-a278-609d06d6a409,RANKED_SOLO_5x5,DIAMOND,I,OR0q5e4KlPsTdJS_c4p4VQCI3eqksonq55TfesND4NfrtB7u,미친자크새끼,44,16,4,False,False,False,True,,zKjxqMK8eFz4_eISVqeLNCIn5cdDzBkcDawkCIEqEx6-N73qXD4CRSXRiMlXPOCZeSICdiRBBx9HcA
14934098-3273-4378-bb59-52c39f17d578,RANKED_SOLO_5x5,DIAMOND,I,5EJyYEmxm7gQnvKkUMwf5WjbvQUpqHxmu1LbOXCIf4X-W-g3,김홍순3,54,140,121,False,False,False,True,,aU9SZ84a9kH5PlEzHj0svKaPauk87LdHtHViQ1JHweHFy3pIOrZ99owY5fzhIA4bgWuV2fShGpcYEg
