summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
dJ2NI1ALczy1a1ZK4MvwoWq9BT4QXdjcB8AJFRPz3Pa9fmQVNC9_vDEQ7Q,샤오 쑤,795,I,589,533,False,False,False,False,Oib9fZjxfDo6b6MxsjRRlTp7Q5Y7i3U0bmMJH8Iw897rpd_342cRKEfA-_iMdpe4PQiDhSOh46RzgA
1v9MfBrApNofnkH2RlggbhBaItx8vwXTZ9X3ctJRHYIhubI,xinren,831,I,333,289,True,False,False,False,4yhefo6DBCun3hvWFHYoKfn8PE5u4c0aMEmEHLdD393NxP6ycX1CxxFB0yV-xQUM8FVGFzf5HnLwpQ
IH0750-XG31P_xqWFE6MaRQKvw_VtrM5V2M_B-EXUupI6NM,쿠자니자니,752,I,352,311,False,False,True,False,r72fp-gNU_HgejoKuKW1M1UN9wUiQRrY4UV9I9WkY0wWSQkznFuFek0YFXLvK1BR892OiRN1-lj4SA
F7x1gnYGbQD-x-gyxiupTLwJ505ZTxIryTHjad1ZIb9VqBGI2goVfnBDVw,순뀨박,936,I,204,148,False,False,False,False,M7XSr80UlEoFGGXyQYk9OY4NKP73UUasGU37octrJgazAEPCz_qv71Uw9PJt_IABfI_BJPfYOBx7xQ
abypD9QZ5_zyLd3X60KpbUjE9uKWZOknEWZHOKvoqc2TFA,shamoluotuo,788,I,352,310,False,False,True,False,g1MD7tTR8psw3JlOJXzPazIQ1UQBan7rYbOo1I76Ul9PXCOaxJflmpyDHgNIuvfZu5jmclmf6SONdQ
crsXHrUny2Qz9plNonRvslm-So814w_0bJBqpkTEYZkYnbg,한영원,1149,I,327,247,True,False,False,False,HMiI40CQpI99p38LOoIbD8EVHR-7qkCoURxFWhoOgLR1m4Qk-XQu07IEN5vGDAsIn8h8nINBsY4eNg
w_WeYd55TOw-5B4RT9IbCzCocgPP3gFVYqjxqXu1in5Hpg,사막낙타,819,I,366,312,True,False,False,False,fOPWBoCtRFKU60X6R3Gtegiz_Q6cGq7cbwAecgZsTTOoP_cSCWtbf5VaVo_sfYIGNoeOoWPguIMN9g
f_ueGQ0RBA_dorVTgmMAIjetz6XezR9jPx_mX-r6kOL3nQg,wndus,813,I,548,504,False,False,True,False,AOmP82D5Kmli4_U0YCzMBxfD0--eDMl3L2lIQUQl2xuneSqsyUBU6hWXOkQlOXRYyWXOrLtSHgCscw
W3tMz_fgNWrzeGq18gKiHzhns13gFaJoeGvXYqChuoedtxQ,jkjkjkjkk,1199,I,1271,1207,True,False,False,False,8Pcp6RmpKXWo5VsxWdqDHE0etdA8JA_-FHJqzS-sLS7-UGaS5arDVgKgkJCPVLfostTA3jDBH5JSvQ
4HKh2KGA4yjqVyYbwTOCGvzhLzJdZxgXMEDLWlytd7n8qipHTBdeN6ZB8A,짜앙 혐오자,812,I,394,336,False,False,False,False,4JP3eWmGEUZVRU7mY5kqWQSYC66y4PxqQNPYtu_FgoRyShiG6QulMMIH7UTGzkYhCj0N8b8dmZBD3g
N0VSGwq_wbjNPWg6mGWD0wnmthIxxZtx6RuWGyEW0d6Lu6s,Daiskii,722,I,775,725,False,False,True,False,tlPQvgV4_Z3jUU0RGXd2omERiyeMo_i9lOr7yz5UPlRL3EIW14rdLYlBTuEZt_x8jjtORv4EtTS5tA
ScUdDp11W6_xqnba2pPqQhIFZp7L4Uv8PXCfPt_b1vjgRgs,아이린,1041,I,429,367,True,False,False,False,MgXv1HmaI_Nkspuq5uhJm2rm3H--ceO_0S0bua9uSDjE6kkMVcOKznob0FDIw0NZA8qvoH-pmA-5Jg
y0q1erDCCql-Gi9TxSk7ql9nCQSGVjYlxmb46RJwFNM4vDpffIfBWkvn2A,나도 행복하자,782,I,149,90,False,False,True,True,Qj9nsrVzfwySU_MvZPyQL0XZp0VJPyR8RLomtQA3SSsJjMx9gnQanUiJMhDKSbgKOGh8o_hpr2KVtQ
0tXwuG8HWOvg-MPySFmpuJ7WReJljYn7BSKlLYLLHT8oavs,은신 갈고리 부활,774,I,453,391,False,False,True,False,adtOuNY3ZbisHRGPT2ZSiJc1LwOoJfOGFOv91gHzLulMgtDlI-LhPU93njtSqSRm8MlgYcvqS0ZgCQ
T91v6eXGjdqNhdX8FrM95vM5Lti1KVufppFAg5H4yRZztO4,윤용호,1099,I,483,421,True,False,False,True,zhFQ47LCkx2f0ELDI4DPPaoYGUgsCob8_3rFgDvQifFf7WYFDSKNBu9cRGNWmBxHFwc790wZwXV2Yg
8ojipujoz71CBvBlp9vJnLOB22vjbI2r1VpobEXRFwqcX8k,IIIlllIIIlllIIII,759,I,363,318,False,False,True,False,QQ9QIKE9VUVvBMZYqiLRLH0jpamQ-5cYbzQF7laO7B2yVZX7tJBA0VnIWrAbYv-Wa0c8F8G5P7StQQ
YeO6FVop80Z0m8Z9rrUXIolsY4pPUyTBr_lIGwf9MlICJo4,둠심 YouTube,1157,I,407,318,True,False,False,True,OaU-Re4frYX3rwhcArOsYMnp1KScn9g3Ob5oBPd2xEainJ8Bay5becrFSm9RVvU4ZwY2yRXNKOQ9Qg
XNqUtz2AtHwbb87ji1Upqe4vpfHaR749ZPxKhu9wJzIE6S4,GGanbuMid,1079,I,431,360,True,False,False,False,WDr5SQZYL07mb6UFqnSXyJvE9TpumBhut0U1fvEtAZFakQA989eJs_pZ8EgqiSztRroEmxGY6Va6vQ
G_UeFF_dANMTeww9PW8IJk3__xUOY3ElFk2Hj2tkn1LcVS0,KT VicLa,1085,I,577,513,True,False,False,False,XzYCGN0YwZfUIA3iMKX9v0X1MCjcy0QanydLwU8DT9OhA00SQymOC7JZ3yLygPkHcvbHhYjh_kEpyA
xUuwgbo5nnbScS9Y741y2MlHD8ueUf20r6XX5R2VKy5tO_M,iiinging,842,I,365,298,False,False,False,False,ZFoPtUa2T2f5DXNf7fZmZCEnDC1WXKV2CHkMOuQtpePdJUM7oLm1xndhAIR8dhsOQtNgrE4jn1UNYg
rvXl0bu_Soy7ZSXtXNejlC5GM2gK9Ck7eCFJH8jJhwJRDHg,Co24,755,I,202,152,False,False,True,False,7cdom2mp1ZjWZRTXBlPxDmPzAr9oGgprzPeFdM2xw3rh4tafMq0OBNHE3H9RtLOs_rSN_0A1atmU3w
P4OtGHKcAw8PYtNhwtV6Y8Ic8S9BJx0VdmK8_NBI8xNFrfE,디알엑스 baby,875,I,542,481,False,False,True,False,uypdIRuCwJbzLzyK-lPjOVb6Wrm950P4VdGChWdzIFOvmX4Y89rhxaYlo0KeLPzKmQGJYp2nW09pmg
P5HrnjCoIn-qJTngKDLLjFNBgCKHaHsWSuxGV53KnVMRET8,달리기 왕,797,I,248,204,False,False,False,False,FMAP4LvhvXQyjOuHjZ6sazBRQarB71W0VHMiKrQx-0Kp_nAQb-sZfp45o3kCv7rfUgJq6EAckNifhg
bVp6z6tDYhVMPg2HX4v0NL3ieb0JSe9VO8m77Mi0SD5RSC4,갱붕이,1277,I,1121,1040,True,False,False,False,QQWmcjC15pJ12Zdqjn4B6G9P8a5FvAEXPM3R7EyITLBBHW6luDCgM6M73rf3K9nkRbHKKsuhe3NjxQ
HMkSi4rGWIbUh08BANar243I0nuddlEYZVtEtk9mSVJ2gW79,미드잘하는정글러,664,I,966,900,False,False,True,False,Y3GY1QcJzZT8Gql1Oy3ga8swm2T2wFEhbulwb5yW0nFOqlrjV0Ps6T2HplsvyKOhi8SdI0rfaeGFKg
_jJKx0K4Hj4_4OwajeCe0Y0ich5KoLYMvYHWwlPyTwfLC_A,내점수에잠이오냐,774,I,716,660,False,False,True,True,1IiNvSek4FV_WPXiHtqFRxPiN4eePeKiXemFwFB7oOCs5p0A6sTAQOHgLAT24iEo7iiDgHfGQ-u5Bg
4R02yQz38QMiSS0gpnLa9OXFS1x4iyDnFSYVBqGIRolcS3ZAldeUwjXbGg,502 Error,993,I,126,78,False,False,False,False,IjhspPpafHPcI_wCojv5GJuCeU0JdcjtBzpWYJv1XPIZ6XKARyGfwIJGpuNZmcgNcnP7mnfYH7wBXA
7ftrLU0TIxQ4eeaC5hCxEwqjqsngmxlW2NgJejQFzmiQ2Zg,KT R MID,744,I,1039,979,False,False,True,False,ozPTQRnwCp-zpJTRaoV-NRouSggV_SOKzcJCxliiQQRXF6PFNItMlR1Zu83JbncF_6D79RxKWqtxBQ
goPeSbGjLY4XfBGmZc7eatQ8yUQlTMWAO-VDSknen6Dn4SY,LunaLina,756,I,854,803,False,False,True,False,ldvtnPInjdxjFskRAS7ChAMNpuW_GjlsR0iWZRMfc-8PCsAOPil2UzCDZwjHozuia2Xfs447Vg7ArA
LlKzZjdTOOrOy_pV-ulRI6RgRxkRVqRNmm9DJj0UXDvsZg,타락파워조이,803,I,323,280,False,False,False,False,IDjKj6XKJh0BVTh412zO8uPu3wTEbR00l2xi87qnr2qErzJxUIhz1FBN_x-N7baz7ulYOATIltBRPA
rHn4JEgmdbHHFXL40rdeO6QVMaMv-Qr4VNVXAkYym-1jIc8,특수교육 전공,726,I,398,354,False,False,True,False,Ci-O1EmZCEebMXh_X-wsIWJCz9o0gMjZAtIRT7fUN1nxp5p8TB_R7434VyFJdvu5oARv-kqvMOywNg
ypaFlle4Dk35SuNBvVkz4buvjObI7s7v1Lxu-BZCbqiY7hdj9RYM3ip6cw,폭시역군,788,I,170,111,False,False,True,False,QWyWM-oWLgUjBG4utUbhcKzIj2Dpn-uqRKrdxJE6k-wBA71dFgkvnpgxoqzRquYnHtXYkSSKK6aQAw
rrjVaJS1olZsHZJGt4jQo6W2okbnAedb6tal9KSxGnFSlnc,구석에앉아있기,887,I,261,200,False,False,False,False,URBFkm7iwnLfuiegJfuL3RFz-LqzVEnw4HX6ptJtDrUsaBBEx8wsqiRyYEJtb-7GYHvhEHLEFrrm1A
yCtwMX8YU7IyxIjNoDqgEJVdeGd3zZ7ltrObtJXNd9jfkZU,DRX Kingen00,1376,I,690,596,True,False,False,False,tMYsJP5-yNhFNfvDgztHRwyrgruKl3vVp33pdw1y3YOensCDKJnjdB0FTH7w7fxnTNSjfLzGPDeM_g
7QZo1RdGrAoaMIJ44yEpG_M-G1Qt9DC_L_8EVvBF9FwyTw,몽키 D 짱구,772,I,587,531,False,False,False,False,pmmbxRRmFmtDqv1y4Yskj6uaJYae-ItoPbO0Jz17eOzKp9KM7f3KbGicYU0GF8c8mQ9daUtCF3BwhQ
tFkFEYQBZT-rC6jyjEHDYHtVEUQTUoFfmArD4IeZLgrKSnI,분신컨트롤,860,I,266,211,False,False,False,False,W2zOx7S18P--Ny1P73lppO4SAD8Jq46xmf8g2FUGjgP98_xSOSKnlL5Awr1YlXg4PJ5H7ZQU-_fJfQ
o8-mtzaeS7vi-bXBDBFg5Opr-AEwRetXqfq6vWyrj2-FOqA,UPzhao641950117,1201,I,522,429,True,False,False,False,MjR2MFlwSJ4wljDr6pbiNb2huFiUjggwSxCjHYhfZdQBY5lV5hNmzS9GmPzs_iw97Me1PsFdlJHkdQ
LTiGiJEf_D6BCSGqtA8fq5Afc6-24TWHTh5ICAaFp4W5BvU,awsdrfgyhjik,681,I,633,586,False,False,True,False,lqdRPLh-3PrGyspR3xjzX8FdBqPi2EDrafABIVEFnTyAekZFbW6COZTSO7eeoeoDPrDUixbfME8ZLQ
CcwCAPp7ZZbOB9KaySXkph_HaVB2cRSbDLLeMNbz5jSypgH65olMhazV9A,hong he wo de,1069,I,735,653,False,False,False,False,e3lOtR97t7YV7qA5jhnq2fpzKWPJuQHyRERASwF1y5l9PoA33ZQ0CLm7qoo0YD_jDQC9qmfBDuOEaA
_JSBfAxaXBhuwGqti53RQ9dZJqVRwsTzffO2CYLF2neSqXI,이도류,919,I,587,535,False,False,False,True,bSawDEJnWEh73D2eRMuzLWQ40Zv3P_gNe5sR4LjiTadWiO0sZoxDFIO7-IC6yTUPckmqeLWE5Xul-A
Svbjw0RhIfIVA5baxZovWQhexWU5Vt6Lkl8Nc2xeEzRyPe0,T1 Gumayusi,821,I,973,911,True,False,False,False,EpCTUcEdflCNW12Msm6jLefmAF2RowyOqBP7KVnRbRxw9QErRYpL6d8b6EHuX4UBOfcVcUDvV3Ighw
