damageStats_blue,goldPerSecond_blue,jungleMinionsKilled_blue,level_blue,minionsKilled_blue,totalGold_blue,xp_blue,kill_blue,death_blue,assi_blue,tower_blue,tower_shield_blue,win_blue,damageStats_red,goldPerSecond_red,jungleMinionsKilled_red,level_red,minionsKilled_red,totalGold_red,xp_red,kill_red,death_red,assi_red,tower_red,tower_shield_red,win_red,dragon_blue,junr_blue,dragon_red,junr_red
46391,30,116,51,312,36834,35535,29.0,18.0,26.0,2.0,12.0,1.0,35502,30,44,44,279,26808,27159,18.0,29.0,25.0,0.0,1.0,0.0,,,,
27191,30,108,47,381,26738,29537,10.0,9.0,11.0,0.0,5.0,0.0,17436,30,86,45,354,26418,27212,9.0,11.0,12.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0
23440,30,78,44,359,24257,27860,3.0,10.0,3.0,1.0,6.0,0.0,26401,30,92,49,392,26579,31861,10.0,3.0,9.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0
27011,30,81,45,279,24039,27781,8.0,22.0,7.0,0.0,4.0,0.0,40645,30,139,51,371,33795,34800,22.0,8.0,25.0,1.0,12.0,1.0,0.0,1.0,2.0,0.0
32862,30,103,46,345,29680,30058,12.0,15.0,13.0,2.0,10.0,1.0,32215,30,79,46,374,27147,29618,15.0,12.0,13.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0
22311,20,99,44,298,24135,26006,6.0,14.0,13.0,1.0,5.0,0.0,28943,30,89,48,354,28842,30010,14.0,6.0,21.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0
24184,30,92,46,333,26845,29957,10.0,2.0,6.0,1.0,8.0,1.0,24314,30,88,45,316,22120,28246,2.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
31287,30,88,48,339,33086,32276,19.0,13.0,11.0,3.0,15.0,1.0,31145,30,94,44,321,26468,27536,13.0,19.0,9.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0
35159,30,68,47,323,28343,30778,14.0,11.0,12.0,,8.0,1.0,25476,30,72,46,357,27523,29494,11.0,14.0,10.0,,6.0,0.0,1.0,1.0,0.0,0.0
24900,30,72,44,331,24915,28469,8.0,13.0,9.0,1.0,5.0,0.0,21715,30,115,49,402,30626,31584,13.0,8.0,14.0,2.0,11.0,1.0,0.0,1.0,1.0,0.0
37040,30,66,46,345,28586,28515,15.0,16.0,15.0,1.0,10.0,1.0,29974,30,86,48,328,30082,31381,16.0,15.0,18.0,1.0,7.0,0.0,1.0,,0.0,
36014,30,96,49,345,30904,31998,17.0,7.0,29.0,1.0,9.0,1.0,27405,30,84,48,384,26516,29727,7.0,17.0,8.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
29080,30,64,48,364,29484,31347,13.0,8.0,16.0,1.0,8.0,1.0,25795,30,71,46,346,25103,29344,8.0,13.0,10.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0
35006,30,83,51,417,32691,35420,22.0,0.0,20.0,2.0,14.0,1.0,21882,0,87,43,370,20758,25729,0.0,22.0,0.0,0.0,2.0,0.0,,1.0,,0.0
29938,0,74,47,303,25597,29640,9.0,22.0,4.0,0.0,4.0,0.0,37350,30,115,51,381,34803,35640,22.0,9.0,16.0,2.0,13.0,1.0,0.0,0.0,1.0,1.0
18468,30,97,48,378,25091,30988,6.0,3.0,11.0,,3.0,1.0,15829,30,104,46,374,24121,29270,3.0,6.0,2.0,,5.0,0.0,1.0,0.0,1.0,1.0
26209,30,68,46,415,28026,29952,11.0,10.0,19.0,,7.0,1.0,21932,30,92,45,378,26238,29264,10.0,11.0,16.0,,2.0,0.0,0.0,1.0,1.0,0.0
22027,30,68,43,308,22418,26746,3.0,11.0,4.0,0.0,6.0,0.0,28146,30,86,49,351,30079,31625,11.0,3.0,16.0,1.0,9.0,1.0,0.0,0.0,1.0,1.0
35538,30,81,45,361,27504,28868,13.0,14.0,10.0,,7.0,1.0,34899,30,70,47,339,29381,30992,14.0,13.0,16.0,,4.0,0.0,2.0,,0.0,
28662,30,83,46,364,29664,29942,13.0,11.0,14.0,2.0,12.0,0.0,29397,30,73,45,264,25349,27925,11.0,13.0,17.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0
26831,30,93,46,355,29105,29942,12.0,12.0,18.0,1.0,7.0,0.0,23811,30,88,46,408,30006,29159,12.0,12.0,15.0,1.0,12.0,1.0,0.0,0.0,1.0,1.0
25806,30,86,45,347,26183,27580,10.0,5.0,17.0,,9.0,1.0,21258,30,62,44,335,22497,27073,5.0,10.0,6.0,,5.0,0.0,1.0,1.0,0.0,0.0
35665,30,75,48,348,29680,31366,19.0,12.0,22.0,,5.0,0.0,28787,20,85,48,379,27358,30397,12.0,20.0,14.0,,2.0,1.0,0.0,1.0,1.0,0.0
29144,30,80,44,325,21054,26407,4.0,17.0,1.0,0.0,1.0,0.0,36468,30,124,52,397,33464,35474,17.0,4.0,12.0,2.0,14.0,1.0,0.0,0.0,1.0,1.0
17018,30,85,46,376,24740,28631,6.0,12.0,3.0,,4.0,0.0,27385,30,103,47,364,28056,30688,12.0,6.0,16.0,,8.0,1.0,0.0,0.0,2.0,1.0
37622,30,76,49,352,33914,33244,24.0,10.0,29.0,2.0,14.0,1.0,29740,20,56,45,312,24670,28355,10.0,24.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0
21027,30,80,47,354,27826,29524,8.0,11.0,12.0,,1.0,1.0,22525,30,92,46,373,26399,30020,11.0,8.0,9.0,,7.0,0.0,1.0,,0.0,
21419,30,60,45,289,23902,27887,8.0,15.0,8.0,0.0,1.0,0.0,32227,30,124,51,359,32057,34778,15.0,8.0,14.0,3.0,15.0,1.0,0.0,0.0,1.0,1.0
25936,30,92,45,365,25965,29350,7.0,13.0,9.0,1.0,7.0,0.0,24268,30,80,47,358,28312,29851,13.0,7.0,16.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0
17263,30,55,43,370,23617,26515,5.0,16.0,8.0,1.0,5.0,0.0,28564,30,100,50,386,31379,32519,16.0,5.0,21.0,2.0,12.0,1.0,0.0,0.0,1.0,1.0
29972,30,105,48,374,32301,30742,17.0,6.0,15.0,3.0,13.0,1.0,26568,30,77,44,325,25747,27532,6.0,17.0,6.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0
28608,30,86,47,363,30449,29930,16.0,9.0,23.0,2.0,10.0,1.0,19684,30,105,46,364,28066,28886,9.0,16.0,11.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0
32225,30,96,50,393,31355,33897,18.0,2.0,17.0,,8.0,1.0,23827,30,80,43,330,20642,25593,2.0,18.0,3.0,,2.0,0.0,1.0,1.0,0.0,0.0
31035,30,77,47,344,28284,30532,12.0,11.0,17.0,0.0,6.0,0.0,31506,30,80,44,327,27506,27819,11.0,13.0,18.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0
36492,30,86,49,355,30818,32898,17.0,15.0,13.0,1.0,9.0,1.0,41532,30,58,46,304,26954,29026,15.0,17.0,15.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
21451,30,90,46,369,26863,29437,9.0,13.0,14.0,1.0,7.0,0.0,25513,30,107,48,364,28130,30607,13.0,9.0,18.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0
30698,20,59,45,266,26379,28292,13.0,25.0,15.0,0.0,1.0,0.0,37903,30,115,50,285,33056,33778,25.0,13.0,18.0,1.0,13.0,1.0,0.0,0.0,1.0,1.0
33012,30,83,48,344,28519,30787,15.0,9.0,22.0,,7.0,0.0,30911,30,88,47,342,27827,29677,9.0,15.0,9.0,,6.0,1.0,,1.0,,0.0
25647,30,84,44,315,26411,27021,9.0,14.0,11.0,1.0,7.0,0.0,34761,30,101,48,349,30313,30918,14.0,9.0,16.0,2.0,12.0,1.0,0.0,1.0,1.0,0.0
21281,30,85,47,371,25100,30411,5.0,9.0,12.0,,5.0,1.0,24261,30,98,48,387,27239,31949,9.0,5.0,16.0,,5.0,0.0,0.0,1.0,1.0,0.0
34373,30,48,46,322,29696,28503,20.0,15.0,31.0,0.0,6.0,1.0,31737,30,100,45,328,28967,28044,15.0,20.0,14.0,1.0,9.0,0.0,1.0,1.0,1.0,0.0
29802,30,84,44,347,27285,26829,11.0,12.0,18.0,1.0,8.0,0.0,27241,30,68,47,376,28592,30244,12.0,11.0,13.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0
28343,30,93,43,295,25942,26931,6.0,16.0,9.0,1.0,6.0,0.0,34395,30,56,44,327,28221,28337,16.0,6.0,27.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0
27194,30,99,47,337,27766,29583,13.0,14.0,17.0,0.0,4.0,1.0,27007,30,116,48,388,31156,31410,14.0,13.0,16.0,2.0,12.0,0.0,0.0,0.0,1.0,1.0
27147,30,80,45,342,28595,29116,11.0,6.0,11.0,1.0,11.0,0.0,22381,30,56,42,276,22906,24586,6.0,11.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0
28868,30,61,42,258,24973,25284,13.0,14.0,19.0,,7.0,0.0,29649,30,72,47,307,28919,30047,14.0,13.0,22.0,,6.0,1.0,1.0,1.0,0.0,0.0
27152,30,66,47,323,32258,30241,18.0,9.0,28.0,0.0,3.0,0.0,25044,30,103,45,358,26149,28546,9.0,18.0,8.0,1.0,8.0,1.0,1.0,0.0,0.0,1.0
31026,30,64,47,387,31190,31230,22.0,10.0,17.0,1.0,8.0,1.0,27269,30,78,44,341,25428,27599,10.0,22.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
30939,30,84,47,277,28041,28794,15.0,14.0,21.0,0.0,3.0,0.0,30463,30,95,47,357,30063,29793,14.0,15.0,17.0,2.0,12.0,1.0,0.0,0.0,2.0,1.0
27224,20,76,45,331,27994,27740,15.0,15.0,23.0,1.0,7.0,1.0,31579,30,89,47,302,28485,29350,15.0,15.0,29.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0
18680,20,71,42,290,21599,24476,6.0,16.0,5.0,0.0,2.0,0.0,32561,30,86,47,328,31010,29600,16.0,7.0,25.0,1.0,9.0,1.0,0.0,0.0,2.0,1.0
31459,30,75,47,339,27359,30049,11.0,10.0,13.0,0.0,5.0,0.0,27620,30,98,45,340,27919,28855,10.0,11.0,10.0,2.0,11.0,1.0,2.0,0.0,0.0,1.0
36604,30,88,50,382,33731,33483,20.0,8.0,29.0,1.0,10.0,1.0,28351,30,80,46,345,26402,28316,8.0,20.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0
33066,30,101,49,392,32228,32955,14.0,5.0,19.0,1.0,11.0,1.0,24366,30,85,43,347,23008,26050,5.0,14.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0
