summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
aM5F1WmFH9AjiT6-GyubL9M3UebE-Wh_LXh2VhVL4ob0WXA,감정이없어진로봇,461,I,245,179,False,False,False,False,eIzGptFa7gkRscGjxzwxrnjb0lBbiRo8Qcvs38KzNuO4-iJIN4Eqzadd8RSJZEZ4sjhRQG4qoSHpNg
6WTO5tuFCo2KmEeK0EOhPcC6CSYCTy_vIahgtPSE_29D6qI,미소녀우진,644,I,350,247,False,False,False,False,-lLQax9zlN9D8up6pdTkedic2S8nU01uJ892Sl-Xeifg77bYRrElSyrNaz-LQmbsnM5lmxqzYDN_9g
sCGnQ0bdPbBARP6yPHKyIb7hZJUzStyCzZGlpVdN7MiaRFA,BRO Jin0,542,I,548,514,True,False,False,True,0hV3_xaRjhPv6cyxuM9yLRzeqMTteR4ShR0zLq9Opnb0aS_a2GRslBMy2u-cc0sonZh5k_e-5WehCQ
SzS_NEXcOxrjkx6BlUt4TaZy47dzVm6xOrzvUKAyuDPE2lI,갱오면죽는사람1,465,I,1019,985,False,False,False,False,PV5_fx8zBwlJ4qAhC4N2vkCI4H-TjL5RnxZk8pRLeVs68SYPUM7LqUQauCI0fIzFXMNpLUruJd7Fxg
Hr1HKq1nV7RTlGiW3-tv1EtUk2_ER0qBKGUtUHrZpMQWs74,Switch Lanes,493,I,292,247,False,False,True,True,uFZh9TtFBxfKRePes9wFdNrLFLT7jZ5hsu0od2C3290t6o4UC6uGNAee7FhBohjeXp34wiLQ_pDNcQ
DfFQ-VWiJdWJBp58tNROKsIGXS6-zqP-6JdzJXP0KFwQ146CiE-HY26cAQ,pingwozhijiedian,697,I,357,288,False,False,True,False,sj5cw_XjY3Fn7EOEGZiG7LZ2LhobCWOjOsFDn6mEkCE05OsyqXU0YAHEMKSboRnI2Spnmcjr8ARn0A
Wt7ozGGdCH6CaWK_GSExiesRaVg2hoh-e86wwDi0DwQdljQ,무시무시고키부리,442,I,320,284,False,False,True,False,uOJWjZnKFpo_HdK3Zvu7v03XDU1QKh34kocPvg33841uT6Sku4Cq3ZIBjUR_nAPHQ2bAt7xAFLh5KA
_GRNyvJ94Z0lLHlLXWVPCAZC1j0m3z28uSaUDaAxENZAAmGMkjeW0i8AvQ,Factory,437,I,126,75,False,False,False,True,2wweGgm_v2GG0iPJK6K7huejRD9gsr8APcM762v7Z7tI_q9gcr9wgztKFuf7fg5JVttKOQjMI6xmzw
_mCBf3hz47syY2l607D86E7Oqq0eg4DhKIdM5dckbAj13v0,홈런볼 다 내꺼,476,I,971,942,False,False,False,False,L2xsRb8i6APjdhIqjW5V708waU2V2JpWcbLiroDXVo944KNzpdH4egWH3-DietDwnoAZVg8jPo2aHQ
ubus_s7XeDZ2yNaBko43yniskEhwsah7kvzCYGBg1MjFY-xAU8jCQyFesw,Jzzcjmzh,604,I,330,287,False,False,False,False,hJeO0H_-cikJCRPZRego_8goF95yUfzcUWNMqdTJNqDRrwuC94E8-wWTa3hUANooBPD0gshvqYYbvQ
mNGZszGhfxWg8Etl3S6lN_I6JCuceVmwTcILxp4QF5E_ecw,신순댕,488,I,582,484,False,False,False,False,XlaXFnfqSbHW8VB5xOPhW5s2rvGzsimL4JkUDu7T-uF8YmLi-m1TKdmnyHfKy-jEv8xrOzvs7J15Lw
