summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
gGv9RenW3ikwHy3gKrj1_clqkMCmPjcz5-fe9TM0vLDPnMU,Iike Chovy,1,I,275,231,False,False,True,False,x87nzN229XyxXG0odBzRqVrKrX8rJlsqJ2ZOhnAnCicrdAKey1-q6oEKnHqe0vxqW5ebhv3XGWGQcA
HtDwNgLVPzMaG9vcyfvZ-EaoM0KBdwZrhpMiT24IVzXm_kg,평균인,43,I,210,195,False,False,False,False,8z0-SbFmzeexJDn0ypfTn82uHdgxq2qTHJHNWWiAYIp9AKrKILr5_zGIsA9IyO_yzwg_WQ5MBMCUqg
w41Nno2qz_Edda8Q4g_ji3B4pftkIAvt6cwMd7H2rxV9xQw,원딜억까는좀,14,I,217,128,False,False,True,False,uVv3ZbdtLg0S9fhyB-6tFHd1qFloBzwQctl4xlJp-YlqYFg8_4mktm60x-xE6xUOqm_nVd9NtdQrmw
i9tWQsNhVsmov_zpdrHGqZiRxdErVp9y8P_EmgrBZwsEzmXXwgcJFhmjag,baxda,40,I,94,56,False,False,False,False,xgX06jCR0cby63hhlvfeBk4zDzr7GcLE6ZDI5pEiAYerbfg5NunBmpubHyp_uMOm6tHdNdKmeG7STg
9rpLnvuto_7tRHFN37a1bIgrhjdPn_kf5k8KBfaLQ5j-Zg,감튀소금빼고,94,I,152,139,True,False,False,False,NNRaBiV4Ev2lqlOR8DDKY8ySQ7Cmd0ZQhsF1BSijO1DpG4nXOjOMm5jpgGy__HXoN_ONULtw4GTzjA
aLCcirBwg3DfLyCeU3cHavOcJB8v1OOCjHInlXzeZzgeulg,SHIBUYA KARAOKE,1,I,440,388,False,False,False,True,YjJLuDquda8JChEUh7V2fdr12KrMXVYkKVll9P2FDkIKxMz9TLpHJRnrfWXqqS3HxWXfRzPIFKRx7g
PG_M_Je_AMiLLxgjFBDvQh_aCR6CBR8kNwFyK8vl9CHms20,현실와꾸강동원,142,I,271,259,False,False,False,True,A1oq4b1nywcqzOzn6CsyTGMaKbJ8YyNQnWztwWVpKxu-NjcS7SxEF9eYrhXYwEWvJWRBBJT76LFwEQ
EJDf2Tkzv3fVokstpFMrX3O-IW_JIilpKzomWlmp3e8WelhRA_fIeuGLYg,muooii,143,I,917,891,False,False,True,False,Jn2A4TMF0hunNiZbF27NYBVN0F-J_0Xp9ltM-sS3rgRKhZEZ7EV5_VS2vgHxfwIQK30ErDIsVrxveg
P6M8X0h1Ti02YPO5KmnjcXRhu24G-SaDi3x_llnlcwUoQbk,자 찍습니다,137,I,260,225,False,False,False,False,zqboNGD0_R7IODiGFoleMdxvwZMa4i3qFR9mGA_MkM7XnQ9zcTwmb4ETspqIaCEBt1R3jxjSvFvNpw
cSV5abVhJgcUEWqv8QbMklu3PAzPzVgMk1a1ZQdWAYGY7sw,z97d,115,I,161,139,False,False,False,True,s5rDME6KUBeW9MBRzAzxF53mcUsHj9tHA8MabXZZqZfp5TnpfTjwdvtkH39w0etkpkwNH2urUVm0JA
lVISIGyzPH5Wp-TmzwKhDGxfRBCg5BcYpffj5qK_MUGlhg,NIF Nail,1,I,278,254,False,False,True,True,Pg82dKCEsDU3vzUmZJTFd4nSIBnLZxAWsmWghbrl_qbnVt78hOgInirhJwZmPa59_QQzecYGZU7YPg
sI4bz73rbf5ZTyrqjXYpEdEOUUzxOEIgbd2cEIqjJ9AS-Rs,착한사람이,6,I,181,156,False,False,False,False,ZnVC_XuYVoZvPDYa8q05k8qpIeUI_sxkK_FXG88Kzzp-I_rbPaVD7lP0RFbKWv3RsbvAhICtRur4ww
q6sb_tKNC-CxhyNxkiGm_DBDHCsSsU89UdtIE8DXa0jjfUM,결과는 공정하다,8,I,187,97,False,False,False,False,LrMuKVOWCh_OvzFgpDin0Q4s1-rXQTy6WGs1uaZ5zkRfdOUG5wRuBVyZsu4Krihw57d-uEDFl6e9ZQ
p7UWeZh3nlJTFMJFwnhly5NJvTSCuWYUtrZb231cBM48r_R9tML_RlZZGA,crystal123,329,I,676,632,False,False,True,False,Wx8TEPIeOXULD0Ql_FVBkD0yR6bC5FOwVsJnNsR5yuLxOCRjDwrbWe-3sXoLSpNkAEz7Qk0C75MkTw
jWocLgOzx531VstpxVyY2osnatcSC_eXfo_D1iDlxa6JAq0,음치 박치 몸치,57,I,71,65,False,False,False,True,APl8bRlLCxMy6jLRWGLjHwpbzxc7wbdqCtYhZHrsRNe0XSLcLMu9r7es6xvy1By6ugtgtczsyMd73Q
Te4PUafXEHa_bj1EeQnh9jq0_odmN1aFCDUUU04moWhmcKXbEdoj5AqrWA,trash tree ,326,I,532,447,False,False,True,False,Z2iYl5kqLLVsne0n9ebbuxlielsFG6AGztdWQtXlwnI7po8LxyPm1hZExLmqR9p1QraB_RWzruzxrA
O2jvdcw8O4qXbAS9c1OfSDXeokjzl8ySdVKValHbb9kte1M,dy Maile1,38,I,138,116,False,False,True,False,_hNqvKFoNoJiAraEh66oGoey4IKYCL-qnjyVrkY5NzYGAm7s5FspbMd0vC7S51MHk2ukDFFWLUDNiw
awiEmUOUEzeUxN0p-3WPMcBT4BgPLHtiQ7bNvXWSQz3crNonAIn8vsOHyg,지기싫다2,311,I,151,105,True,False,False,False,dZ3EJCQdsL7-VB6aIBLdOYEjk-8raxeGTFKHyyL8Y9V-yIYRu__8fOX7zoJHAjnCfK_gc5sPO3gTyQ
PxeBybFZFtQZ1wzxmNL0Ufu99Ozw6SmNKnwkb0ZJ27ic-Q,닭볶 음탕한 아내,87,I,260,206,False,False,False,False,Yj-J1fzO6S851kXyVuGaIn6nrh8LAkU6ARM_Lm9P2fqN2rJIS7lqLYKxtLAPICzX8MzNvdGxN4jdZw
rR1pbZKV9hSuYU-xgqlwv-jhMpInM-MJ2tQl4VuPUsTjoVRB-ir8AlffWg,WaybHome,299,I,1028,976,True,False,False,False,T0WHCUmOeXgdan0z75bXT065SK8YvkrEGEoaqQ2QGJb0iFARKZpM-Qz1US9ctkrXMgk1SJF101BIsQ
fydaOKfrwdP89keMdD59BN5l4zHXmSZy2IHy729W-KpTDykF,영드레드 유튜브,31,I,135,110,False,False,True,False,xDu_qHJX8nre33eHPUY5tEAgeQgj5uIhGeZ6CZEW0fEG7tLn6XE3gMgF-Zms_0zBnkVuY2OfDLqYtw
NSQ3U-Px4emd3o6WpzbtsY0GSYq1k8X1HhyQ4ytbTRW6HAR_,어택 컨트롤,59,I,197,164,True,False,False,False,p2pd9uIzJ1kx3A2L6O1bfy2HvGA92hKa4w87B7lQv5moDl3fEYb8OawZp7ngDApredGNjXv0oYWfDg
P4VIqM3O_H3pYDqsYe80gI6RzlMB3EOCetTfYrIyEbbFTS8,Servot chai,15,I,346,314,False,False,True,False,uHmrpPstkCMt2SNTnInsFH9c_K3naIUYP7hYctv_2pfsRMaNyNhTpX5YBCmdZ5fXGo85co9hRe6zjQ
UkelyzBAtQ5Kku6k9IuDl_SAGdxgSj9rmLZlvgnMdoRBzg,1993 06 08,36,I,408,365,False,False,False,False,iGhXMqbSf9mOfB-rN1X4j230bGy1_87AMtNWMwWOPwsUt-OeiY6pT5m9yACUAKjq2TRnDg9fnL_u-Q
2lCRryMtbcYIwkxdxYL-obqM4HHhS6iu34lQwyTiYLrMotXbIC3wj_Nvsg,바냥꾼,1,I,140,113,False,False,True,False,mSCBMPXPAWkFHn_xOQP6QNlxAq7FArfWAwFaIvY1C8SOGBzB_pSpKdALzYJ2Og5yPZ1LVk-nZeodbg
9lWY2qCgdUJUCXC-9OU5peMU4nT9KCayqfusTN1eBHtB-w,복슬복슬겨드랑이,159,I,293,278,False,False,False,False,OUN63j-GJ_2DWxKJmzy3uY-Plwvbj5NdJK1quwk1iH_v2F6BHrnBBTr8jkRNQ8N7AFGo-A2pWjcxvA
HhOV5MVpBDviK9JewjLlHSRxiDdkDDH6GDj2HJaWckC8Z00,쫑내자,60,I,480,435,True,False,False,False,59_yNxIgFbIjSCnuLCXf7zwoiZfxOLhtDV9xnmOxyH_8_dlzG2NWPc671d8OIYtDiW5GObANFQhbCQ
9Ma4nYQ8EiKuMH-9JEWQ1aX8QyXr-V-g7qmUIlQ6aeMq7wk,AD Carry Montage,5,I,301,253,False,False,False,False,CGTx7_uZuZJqslTOWzOb79-Cone7nvsRkd0tPZP8Q8Pv5hbDaTHYdCwWNMX1cU-Oz23uJpEBsmGcJg
Iu_Jg1vQg_YJ6a1RxrZWp9yzRDNh3m0Ne0PzzRNTRhfEID-HFukiD01XpA,98kwudi,183,I,402,367,False,False,True,False,zg1wlkESlTVxnvK3pelZSnAxPdFMNpgIgRjcJeEm_r9TZM9hKk_vDixSB8KM_yZ_AcoOpp2Ojm4nKQ
AYRuyv-0Bom3wkIQG9vkIfctUDQ3ECaTL3jzMNbkWnLYSXo,주원이따먹고싶다,0,I,706,639,False,False,False,False,MgqCUir2UgVqMCMWJwOjInmLqVLQjyjFtF0unmaUoye9JAcKtGWYEgSLwUcaB6yQptGMjVlaBUjvPA
Q7pKKd9XTsbocIhpRzOg3THhdyv84TFzLUYPONe_DK9-F9A,NDCW1,205,I,622,515,True,False,False,False,5VgpY91rKJeEcjdOIazjviYh_GCQrKRI7j_BkAck4lc56QQ0tzh_4VMzY9QD32_Z-bJtRa18JksmPg
yWvjIdd0ovAaxbvDg7HrM7E1sOzVjo39k3e15Rn0Yh8k13_x5-YzO0DOVg,갈퀴곰,73,I,421,352,True,False,False,False,5khsj-hvF15xjJiGoRyQrPauZ44LsAYuqJe-3dgpvGI98ULdB0lJq-r5orFe3uqqQPFsghVoeUVhHg
SSI5X-1_m-w2AmmFs9qCbr_0IuibgpM9abWpiBle5sudaQ,주녕이형작대좀,95,I,428,365,False,False,True,False,-lqHWdIz9LMpGkruAn0OyBf5ZYFBsjON4NPjS0xdvokgqbYjQV7V-X88_NYUGmKu4dDSQgRbzoG1Tg
VyFkyjHAGyPF9CQ7iws9-ak0u-8whHFOcgGOISkGkvNkqw,M0dern Times,54,I,52,39,False,False,False,False,wo2vvuiuyK_7O-9B6of08eGhDtJV9rx1hx8-SB0WY6HZr0s4OuOM5UDADqhBoRiFekNmiMQI1U69lg
