leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,puuid
5eee2374-4426-497d-a33c-b7f94039def1,RANKED_SOLO_5x5,DIAMOND,I,fd0aCfGgwGMdzWZ85fhZBAp9BU0eIXYri6Il7p-lcCuUgO8,드가자아,14,174,121,False,False,False,False,,GdE_RYGj0uqzgc-X_D0IvqEv9VMCMoiZF9T0rh0j92d0pEau8v4u_V3CsijYCeRMJMIHuedy6X8ARg
d5f37e47-f4db-4a48-ab51-2d8102a568dc,RANKED_SOLO_5x5,DIAMOND,I,cQ0Zdz8gMFabrw7UsZZcpKUN09Q0zRx0KW4NOZczq7HXpcA,T1meLapse,77,131,125,False,False,True,False,,R4ulg0XFTXFKDD0poaBMgyIoIm2JdK9DC-IF7kgdIuZdqvupcVxPXaZY869bX1vFB0Khuns4YR6D7Q
61eaeaba-6c4a-4c5e-a90b-b41b13f999ff,RANKED_SOLO_5x5,DIAMOND,I,GuKKm9im6LMd2wSsF1YM5YNj29QhyA2eLz-3g3Xh-8riJI0,카 나,46,145,114,False,False,False,False,,39AZHZdoN_2vML05Z22PnLoTzhhQTsXavhEdN39pSNUhJdxnB3-GkDN8El-Egy863cTJ0C4tq6rg4A
c6803ce6-71ac-4ed3-9b30-80ee57380e1e,RANKED_SOLO_5x5,DIAMOND,I,jQd1KTaCD6P0LB3ET5Lo1R3qUn3jLnT0CaKFVxU5HSDxdSY,옥정동 호수공원,29,72,63,False,False,False,False,,kBRVNKqTsZwG-xf1E-T7Xtl6jhkUurp1droBHK4oDqOQta2ombLMFfBONJgdsU6rPahcKriwMNudeQ
0ddd8413-9807-4e46-bdf9-0cc840278ce8,RANKED_SOLO_5x5,DIAMOND,I,ETgWoTCNhVv16IefUaK5qey_Zs8yeTe60eBv1o2tcOuc1Gk,0012345,15,120,121,False,False,False,False,,J8FnP6Ms5AXzIFGQNqX-O4SFujN3ITBnXfnr94kbMOGDhaZK0M8VDXhAuKzJK1WbPVzDiE-nv_QYAQ
b0b79fdb-4079-4d9e-90df-1ecd62a9126b,RANKED_SOLO_5x5,DIAMOND,I,F5twyGCkw7ElL0LdWcMI0fGtlqUVhKB7MQqg57uj_yorvmc,마오카이세라핀,0,449,406,False,False,False,False,,9355wJl-Nj7SfHqbM2UPeQL3onH2Ty2MivT_zZrfDcC1QWKjZCUoeo_5dwZnl9C0lIDmcB-666ok5g
5f40cef0-7e64-4a33-89f6-e9d17b87f3d2,RANKED_SOLO_5x5,DIAMOND,I,m5YjF_EAIMmvmNGr7fIyF-ESKIalUN-yh4Bgeaw2gj4v5VQ,CARRY KING,17,545,478,False,False,False,False,,h52a05LtzXY8Nbh3Ti6S_VGQM3ZJjVjlMp09U77dVdYT4WWV-OCLZ5OLf7TIXCvaCfWcDEVyUGvwmg
6a289392-661f-4fec-b194-6e2b20663eff,RANKED_SOLO_5x5,DIAMOND,I,84aO3q8vSms23F__gMd7olPe0JdBv_CfC8xyW16ZteLxV7A,케리아 큐돌려,100,331,302,False,False,False,True,"{'target': 3, 'wins': 1, 'losses': 0, 'progress': 'WNNNN'}",ScZxWY52gviqnufiIkZxQqrtr7MtIViqIv5KjvLR6zjEwfxk12vR34XYQahf13iQI-fsvVSxzC61LA
5355edec-77a4-40d8-b556-00522c1b28c9,RANKED_SOLO_5x5,DIAMOND,I,Lar8YiKbmw51LnzMcL3efh1ey8iQF8y9A8Q-ZRFCCVX3zYo,Fancy u,30,143,128,False,False,False,True,,55LMAY4GK5hJ_3d7j_xjICNa9dN9jaTM_AIwxA-DbazBACQo9kNmSoBSX_m0m_JwgTE2-4G2cVt3Eg
c5ba3dab-f00c-4d5b-8dd4-47eb04017390,RANKED_SOLO_5x5,DIAMOND,I,K5_gLySGNcXUrr2PyUHuLJGkWG97G6oEqmfBETTfWEQ1c5U,돌아온 왕찌공,100,394,387,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 0, 'progress': 'NNNNN'}",ATckemSH0mDPRwOFI4JdBfB36fcLR89oHEHkc8EMv8j1wWcM5pXs_tIfRspOBvtWwhm40MKZJNgFkg
bf41d368-013c-4f9d-b3d1-d26568c71f0a,RANKED_SOLO_5x5,DIAMOND,I,r6abFWsKIIwsX4UjpsDvypYj6P8qiUlvbgemXvXRsxWWicU,무지성바텀시팅좀,23,205,196,False,False,False,False,,XCD8Eb6I_w_nTTlH2Y97OLPWwIhooi68rrN0gfkDTZTcaxRvbmw2IgQzIaXOlrbKarIIObguJUHcJQ
98b99401-c021-46c1-ac31-2c6dfadf4864,RANKED_SOLO_5x5,DIAMOND,I,NWa-X5gxe_sjcdv8qkFC_4gVJ3mTPngNuysIhYPW1gOZDu4,매운문어덮밥,15,266,201,False,False,False,True,,KkPamyCeJfzKYw16jVOFOjegZTK34xscOURKl9SkBGJNVvKrP9atseHpgcqGtmb9UnlVXoWQA1A_qQ
