summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
xUuwgbo5nnbScS9Y741y2MlHD8ueUf20r6XX5R2VKy5tO_M,iiinging,841,I,363,296,False,False,False,False,8Pcp6RmpKXWo5VsxWdqDHE0etdA8JA_-FHJqzS-sLS7-UGaS5arDVgKgkJCPVLfostTA3jDBH5JSvQ
335b3WaaHtf21zg5_N5WCyO5gsfnZ0YcdB-El_FdIcb_8DSM,소년가장 원딜,754,I,368,327,False,False,True,False,YWXrXmmN883qw8MXPZOZGx-dNGjQXPafWJuzQHP01JNBE8vsvzSER-O26w34yGnNTr0jfcdCboEv-Q
4R02yQz38QMiSS0gpnLa9OXFS1x4iyDnFSYVBqGIRolcS3ZAldeUwjXbGg,502 Error,1013,I,126,77,False,False,False,False,DMsr5d4N_oDlUuZmp4N00HeLCqsg_VAqcEp5uV06dmB74gzGYTteln210ZHXZVWHt5InO3DHS0l1_g
1KMqguH8TewURcK1GDrtzea8h1WfQBr_heDbqGytVLZzi68,T1 F0rest,953,I,1051,996,False,False,False,True,dWbGAs5kwitLcPO8oOzJeItb_wKXw8OgJZ7jhw-h8HiQBvK5j4EalKhMWQiRjxONxICJIpBjxbpfgw
QKboNbw0H2OVKZXlmIB5_luLzYZGSisrLVAfTPDQ08BBgHk,Pnpm,1150,I,242,176,True,False,False,False,Ns_7gqcPz2C7GEBh2x1ptz38zHrBdfje6trYTC_yzeicF8VqLxbdW0em2ruF-C4rsUqXarMTcBmPoQ
JrgZ8rBtBRi31H0k_CWY0DqEchyHwpdC-cKnFtyVUVAVxoc,i am Decade,794,I,1001,936,False,False,True,False,a1KyuCgqmnhpGJ5fN5PAtr6MFgC4Qb3C5jEuXg8hYIQjk_oJIm7n4UEp6oGx1nqzLEUiOJug1v7B8A
dJ2NI1ALczy1a1ZK4MvwoWq9BT4QXdjcB8AJFRPz3Pa9fmQVNC9_vDEQ7Q,샤오 쑤,795,I,589,533,False,False,False,False,QnCvxFOtYk1Tb9Zd5Igh9LYBVUfj_WFwkXPgO2HeVQNU23prnM5219FJCwJgZfNdMOzrRl3PGPvvfQ
dYYx1W2lXHjPPkCESDOt87LW2x8BjunlHktUJkQDQC3Qga0,워 드,854,I,415,353,True,False,False,False,-goFwdODSavMvEGZmwXQW2-T3zFj33Ph3gNMtogcz7GJoOCL32caBZ7MTSWsUyqLajgpKjC_OBEpoA
xEITaiRbrz2Pt_x3an2_HSMWMVzjTJpaqmLI3CeQ0eOVCUo,난 워낙 노빠꾸라,1120,I,495,406,True,False,False,True,l4uuDq7L1GrA__J8g1bJ7bP0SXgg-K2StF-uzyHfHVPgT9BzjBccMFqRo-tEKV6SD8C2Vrp29fJwwQ
7GDjKIFOa2bU3ybeWJt-JY-Kdjv1NXdo7vtHqAmN4ZO_qTo,KT Way,1098,I,533,461,True,False,False,False,erNbGclx7FK3ADXWoZKu60x_A2p-sebQp0K08cvDPUlvYvtNHMFr1ZphorL9fTvHLzKw09HKTprZ7g
WuNktp-Ut9OA9EcUIMDiuocoaiPmLj13p_AZXIPhUHJ4xco,Fox B Osu,919,I,671,610,False,False,False,False,Av3WKtaZuxI1zYPO3AamDtn5X_HEqnN-fpWbVQg5Fnh5PdAYw1x57Co_PvFCtqSJBGHN779HiFhtUA
Dmdhz7D8DJFBb0_vfUy4vroGENruBBroaB5rD4IlHsHQ50YlLUbti0YJwA,언젠가만나게되는,761,I,170,124,False,False,True,True,ge29sQb6v1qFFH45s8gbfuotte-Er7rw5-c5F_bj0VDBpWCHTJzDUQTBK-gLbLo4s3SkxCa2nkh-Kw
